Plan Name,MRP,LCO Price,BC Price,SD Count,HD Count
KALAIGNAR TV TAMIL BOUQUET SD 30d,29.5,26.55,23.6,5,0
BBC INDIA BOUQUET 30d,3.54,3.19,2.83,2,0
WBD FAMILY INDIA HD 30d,30.68,27.61,24.54,6,6
WBD FAMILY INDIA SD 30d,20.06,18.05,16.05,11,0
WBD KIDS HD 30d,25.96,23.36,20.77,5,5
WBD KIDS INDIA HD 30d,28.32,25.49,22.66,6,5
WBD KIDS SD 30d,15.34,13.81,12.27,9,0
HAPPY INDIA ALL HD 30d,122.72,110.45,98.18,6,9
HAPPY INDIA SMART BANGLA 30d,54.28,48.85,43.42,10,0
HAPPY INDIA SMART HD HINDI 30d,93.22,83.9,74.58,4,5
HAPPY INDIA SMART HD PLUS MARATHI 30d,119.18,107.26,95.34,5,9
HAPPY INDIA SMART HINDI 30d,50.74,45.67,40.59,9,0
HAPPY INDIA SMART MARATHI 30d,54.28,48.85,43.42,10,0
HAPPY INDIA SMART PLUS MARATHI 30d,96.76,87.08,77.41,14,0
SPP HD MARATHI HINDI 30d,171.1,153.99,136.88,8,17
SPP MARATHI HINDI 30d,118,106.2,94.4,25,0
SVP BENGALI HINDI 30d,73.16,65.84,58.53,17,0
SVP HD MARATHI HINDI 30d,116.82,105.14,93.46,8,10
SVP KANNADA TAMIL MINI 30d,47.2,42.48,37.76,10,0
SVP MARATHI HINDI 30d,73.16,65.84,58.53,18,0
SUN MALAYALAM BASIC 30d,23.6,21.24,18.88,5,0
COLORS WALA BANGLA VALUE PLUS SPORTS 30d,39.18,35.26,31.34,22,0
COLORS WALA ENGLISH GEC NEWS SPORTS HD 30d,21.83,19.65,17.46,2,4
COLORS WALA GUJARATI VALUE PLUS SPORTS 30d,39.06,35.15,31.25,21,0
9X JALWA 30d,0,0,0,1,0
9XM 30d,0,0,0,1,0
AAJ TAK 30d,0.89,0.8,0.71,1,0
AAKASH AATH 30d,0,0,0,1,0
AASTHA 30d,0,0,0,1,0
AASTHA BHAJAN 30d,0,0,0,1,0
ABP MAJHA 30d,0,0,0,1,0
ABP NEWS 30d,0,0,0,1,0
ANIMAL PLANET 30d,2.36,2.12,1.89,1,0
ANIMAL PLANET HD WORLD 30d,5.9,5.31,4.72,0,1
ASIANET NEWS 30d,0,0,0,1,0
B4U MOVIES 30d,0,0,0,1,0
B4U MUSIC 30d,0,0,0,1,0
BBC WORLD NEWS 30d,1.77,1.59,1.42,1,0
BIG MAGIC 30d,0.12,0.11,0.09,1,0
BINDASS 30d,0.12,0.11,0.1,1,0
NEWS NATION 30d,0,0,0,1,0
NEWS18 INDIA 30d,0.12,0.11,0.1,1,0
NEWS18 MPCG 30d,0.12,0.11,0.1,1,0
NEWS18 RAJASTHAN 30d,0.12,0.11,0.1,1,0
NICK 30d,7.08,6.37,5.66,1,0
NICK JR 30d,1.18,1.06,0.94,1,0
PARAS 30d,0,0,0,1,0
POGO 30d,5.02,4.51,4.01,1,0
PTC CHAKDE 30d,0,0,0,1,0
PTC PUNJABI 30d,0,0,0,1,0
REPUBLIC TV 30d,0,0,0,1,0
COLORS CINEPLEX 30d,3.54,3.19,2.83,1,0
ROMEDY NOW 30d,5.9,5.31,4.72,1,0
RUPOSHI BANGLA 30d,0,0,0,1,0
SANGEET BHOJPURI 30d,0,0,0,1,0
SANSKAR 30d,0,0,0,1,0
SATSANG 30d,0,0,0,1,0
SHUBHSANDESH 30d,0,0,0,1,0
SONIC 30d,2.36,2.12,1.89,1,0
SONY BBC EARTH HD 30d,22.42,20.18,17.94,0,1
SONY MARATHI 30d,6.49,5.84,5.19,1,0
SONY MAX 30d,17.7,15.93,14.16,1,0
SONY MAX 2 30d,1.18,1.06,0.94,1,0
SONY PAL 30d,0.59,0.53,0.47,1,0
SONY PIX HD 30d,22.42,20.18,17.94,0,1
SONY SAB 30d,22.42,20.18,17.94,1,0
SONY TEN 5 30d,22.42,20.18,17.94,1,0
SONY TEN 5 HD 30d,22.42,20.18,17.94,0,1
SONY TEN 1 30d,22.42,20.18,17.94,1,0
SONY TEN 2 30d,20.06,18.05,16.05,1,0
SONY TEN 2 HD 30d,22.42,20.18,17.94,0,1
SONY TEN 3 30d,20.06,18.05,16.05,1,0
RAJ TV 30d,4.72,4.25,3.78,1,0
SONY AATH 30d,6.49,5.84,5.19,1,0
SRI SANKARA 30d,0,0,0,1,0
STAR JALSHA 30d,22.42,20.18,17.94,1,0
STAR MAA HD 30d,24.78,22.3,19.82,0,1
STAR MAA MOVIES HD 30d,22.42,20.18,17.94,0,1
