Plan Name,MRP,LCO Price,BC Price,SD Count,HD Count
THANTHI TV 30d,0,0,0,1,0
ZEE PUNJABI 30d,11.8,10.62,9.44,1,0
SOHAM TV 30d,0,0,0,1,0
ETV BAL BHARAT 30d,4.72,4.25,3.78,1,0
CHARDIKLA TIME TV 30d,0,0,0,1,0
PTC SIMRAN 30d,0,0,0,1,0
DISHA TV 30d,0,0,0,1,0
TIMES NOW NAVBHARAT HD 30d,1.77,1.59,1.42,0,1
SONG DEW 30d,0,0,0,1,0
ET NOW SWADESH 30d,1.18,1.06,0.94,1,0
SUN MARATHI 30d,0,0,0,1,0
FLOWERS TV 30d,11.8,10.62,9.44,1,0
LAMHE MOVIES 30d,0,0,0,1,0
TIMES NOW NAVBHARAT 30d,0,0,0,1,0
SPORTS18 1 SD 30d,9.44,8.5,7.55,1,0
SPORTS18 1 HD 30d,11.8,10.62,9.44,0,1
PRAVAH PICTURE 30d,2.36,2.12,1.89,1,0
PRAVAH PICTURE HD 30d,4.72,4.25,3.78,0,1
ALI TV 30d,0,0,0,1,0
SWARA SAGAR 30d,0,0,0,1,0
EWTN 30d,0,0,0,1,0
MERCY TV 30d,0,0,0,1,0
AADINATH TV 30d,0,0,0,1,0
4TV URDU 30d,0,0,0,1,0
D IBADAAT 30d,0,0,0,1,0
TEHZEEB TV 30d,0,0,0,1,0
MADHA TV 30d,0,0,0,1,0
FGN CHANNEL 30d,0,0,0,1,0
DISNEY CHANNEL HD 30d,14.16,12.74,11.33,0,1
COLORS CINEPLEX BOLLYWOOD 30d,0.12,0.11,0.09,1,0
STAR GOLD ROMANCE 30d,2.36,2.12,1.89,1,0
STAR GOLD THRILLS 30d,2.36,2.12,1.89,1,0
STAR MOVIES SELECT 30d,2.36,2.12,1.89,1,0
ZEE MPCG 30d,0.12,0.11,0.1,1,0
ZEE UP UK 30d,0.12,0.11,0.1,1,0
&&XPLOR HD 30d,4.72,4.25,3.78,0,1
STAR GOLD 2 HD 30d,4.72,4.25,3.78,0,1
NEWS18 JKLH 30d,0.12,0.11,0.09,1,0
ZEE RAJASTHAN 30d,0.12,0.11,0.09,1,1
STAR SPORTS 1 HD 30d,22.42,20.18,17.94,0,1
STAR SPORTS 2 HD 30d,22.42,20.18,17.94,0,1
ZEE SARTHAK 30d,22.42,20.18,17.94,1,0
MH FAMILY VALUE 960 90d,1110.13,705.3,463.32,296,0
MH MAHARASHTRA JUMBO HD 30d,560,361.22,249.76,258,39
MH AAPLA CHOICE 1 30d,270,145.06,74.4,244,0
MH AAPLA CHOICE 2 30d,270,145.06,74.4,249,0
MH AAPLA FAMILY & SPORTS 30d,350,195.82,119.52,277,0
MH AAPLA FAMILY & FICTION 30d,349.81,195.66,119.37,274,0
MH AAPLA JUMBO SPORTS MIX 30d,449.82,273.85,180.49,296,0
MH AAPLA JUMBO ENGLISH 30d,550,352.22,241.76,315,0
MH AAPLA TAMIL 30d,300,150.82,79.52,249,0
MH AAPLA KANNADA 30d,330,177.81,103.52,246,0
MH AAPLA MALAYALAM 30d,330,177.81,103.52,252,0
MH AAPLA TELUGU 30d,350,195.82,119.52,257,0
MH AAPLA BENGAL 30d,450,274.02,180.64,296,0
MH ENGLISH DIAMOND HD 30d,790,532.82,377.12,263,60
MH HINDI DIAMOND HD 30d,599.99,385.42,262.88,259,41
MH MAHARASHTRA DIAMOND HD 30d,645,425.92,298.88,265,43
MH ENGLISH VALUE 340 30d,402.38,264.2,202.84,283,0
MH FAMILY VALUE 320 30d,377.6,241.9,180.54,297,0
MH GRAND VALUE 430 30d,507.4,337.48,276.12,323,0
MH AAPLA CHOICE 1650 180d,1849.59,1204.43,743.41,287,0
MH MAHARASHTRA SUPER COMBO 30d,370,213.82,135.52,285,0
MH AAPLA CHOICE 240 30d,283.2,178.17,116.83,267,0
MH AAPLA CHOICE 275 30d,324.51,215.36,153.99,289,0
MH SUPREME VALUE HD 30d,699.03,509.95,399.52,274,61
MH SUPER VALUE 30d,324.51,215.36,136.88,289,0
MH FAMILY VALUE PLUS 30d,401.21,241.91,160.48,297,0
MH ENGLISH VALUE PLUS 30d,424.8,263.14,179.36,283,0
MH ROYAL VALUE PLUS 30d,530.99,346.9,245.44,323,0
MH STARTER VALUE 30d,283.21,178.19,103.85,267,0
MH BUDGET MARATHI PLUS 195 30d,230.11,130.4,69.03,239,0
MH BUDGET MARATHI SPORTS 212 30d,250.17,148.45,87.08,253,0
MH AAPLA CHOICE 720 90d,832.63,519.27,297.94,265,0
MH AAPLA CHOICE 825 90d,954.07,628.56,395.06,287,0
MH AAPLA CHOICE 1440 180d,1614.18,992.56,555.09,265,0
MH FAMILY VALUE 1920 180d,2152.34,1349.47,872.27,296,0
MH GRAND VALUE 1290 90d,1491.78,985.06,711.97,323,0
MH GRAND VALUE 2580 180d,2885.52,1881.89,1345.48,323,0
MH SUPER VALUE 90d,954.07,628.56,395.06,289,0
MH FAMILY VALUE 320 60d,755.21,502.69,320.96,297,0
MH GUJARAT FAMILY VALUE 30d,399.98,271.49,178.39,305,0
MH GUJARAT SUPER VALUE 30d,329.99,220.29,141.28,291,0
MH SUPER VALUE 60d,648.99,430.69,273.76,289,0
MH SUPER VALUE 360d,3894,2584.32,1642.56,0,0
MH SUPREME VALUE HD 360d,8388,6119.4,5237.76,0,0
MH MAHARASHTRA JUMBO HD 180d,3360,2280.12,1951.68,0,0
MH AAPLA CHOICE 275 360d,3894,2584.32,1642.56,0,0
MH GRAND VALUE 430 360d,6089,4276.08,3398.57,0,0
MH MAHARASHTRA JUMBO HD 360d,6720,4560.24,3903.36,0,0
HW MH SPORTS ENGLISH FESTIVE PACK 30d,175.82,79,17.94,218,0
HW MH SPORTS HINDI FESTIVE PACK 30d,175.82,79,17.94,218,0
KALAIGNAR TAMIL BOUQUET 30d,29.5,26.55,23.6,5,0
ZEE ALL-IN-ONE PACK BANGLA SD 30d,69.62,62.66,55.7,22,0
SONY HAPPY INDIA PLATINUM 69 - A 30d,75.4,67.86,67.86,16,0
SONY HAPPY INDIA PLATINUM 69 - BANGLA 30d,75.52,67.97,67.97,17,0
SONY HAPPY INDIA PLATINUM 69 - MARATHI 30d,75.52,67.97,67.97,17,0
SONY HAPPY INDIA PLATINUM HD 93 30d,100.65,90.59,90.59,7,11
SONY HAPPY INDIA SOUTH 19 30d,22.42,20.18,17.94,4,0
SONY HAPPY INDIA SPORTS 31 30d,33.16,29.84,29.26,4,0
SONY HAPPY INDIA SPORTS HD 48 30d,50.27,45.24,45.31,0,4
SONY HAPPY INDIA SPORTS HD 59 30d,63.48,57.13,55.7,0,5
DISCOVERY BASIC INFOTAINMENT TAMIL PACK 30d,9.44,8.5,7.55,9,0
DISCOVERY INFOTAINMENT + SPORTS TAMIL PACK 30d,8.26,7.43,6.61,6,0
DISCOVERY INFOTAINMENT HD PACK 30d,10.62,9.56,8.5,2,4
DISCOVERY INFOTAINMENT TAMIL PACK 30d,8.26,7.43,6.61,7,0
DISCOVERY KIDS INFOTAINMENT HD PACK 30d,9.44,8.5,7.55,1,3
DISCOVERY KIDS INFOTAINMENT TAMIL PACK 30d,7.08,6.37,5.66,5,0
JAYA BOUQUET-1 30d,7.08,6.37,5.1,3,1
NDTV SOUTH 30d,3.84,3.45,3.07,3,0
NDTV SOUTH LIFE 30d,3.25,2.92,2.6,2,0
SONY HAPPY INDIA BANGLA PLATINUM HD 90 30d,97.11,87.4,87.4,6,11
SONY HAPPY INDIA ENGLISH 12 30d,10.38,9.34,9.34,3,0
SONY HAPPY INDIA ENGLISH HD 20 30d,18.41,16.57,16.57,0,3
SONY HAPPY INDIA FOOTBALL 17 30d,20.06,18.05,16.05,4,0
SONY HAPPY INDIA MARATHI PLATINUM HD 90 30d,97.11,87.4,87.4,6,11
ZEE PRIME PACK ENGLISH HD 30d,29.5,26.55,23.6,1,4
ZEE ALL-IN-ONE PACK HINDI SD 30d,69.62,62.66,55.7,26,0
SPP HD MARATHI 30d,141.6,127.44,113.28,5,18
SUN KERALA BASIC 30d,23.6,21.24,18.88,5,0
SUN TAMIL PRIME 30d,53.1,47.79,42.48,9,0
SUN TAMIL SUPER 30d,59,53.1,47.2,11,0
COLORS WALA MAHARASHTRA BUDGET PLUS 30d,25.96,23.36,20.77,15,0
COLORS WALA MAHARASHTRA FAMILY 30d,35.4,31.86,28.32,27,0
COLORS WALA MAHARASHTRA VALUE PLUS 30d,29.5,26.55,23.6,18,0
SPP ENGLISH 30d,57.82,52.04,46.26,11,0
COLORS WALA GUJARAT FAMILY 30d,35.4,31.86,25.49,29,0
COLORS WALA MAHARASHTRA FAMILY PLUS HD 30d,59,53.1,47.2,17,12
COLORS WALA MAHARASHTRA VALUE PLUS HD 30d,46.02,41.42,36.82,10,9
COLORS WALA HINDI FAMILY 30d,35.4,31.86,28.32,1,1
COLORS WALA HINDI BUDGET PLUS 30d,25.96,23.36,20.77,1,1
SVP LITE ENGLISH 30d,17.7,15.93,14.16,3,0
COLORS WALA HINDI VALUE PLUS HD 30d,41.3,37.17,33.04,0,1
SVP HD LITE ENGLISH 30d,29.5,26.55,23.6,0,5
COLORS WALA BENGAL FAMILY 30d,35.4,31.86,28.32,28,0
COLORS WALA KARNATAKA BUDGET PLUS 30d,29.5,26.55,21.24,13,0
TIMES BOUQUET-5 30d,11.8,10.62,9.44,3,0
ENGLISH MOVIE MINI SD 30d,20,18,24,5,0
ENGLISH MOVIE SD 30d,55,49.5,48,8,0
COLORS WALA TELUGU BUDGET PLUS 30d,9.44,8.5,7.55,11,0
SUN ULTIMATE 30d,76.7,69.03,61.36,25,0
TURNER FAMILY HD PLUS PACK 30d,7.67,6.9,0.24,4,2
TIMES BOUQUET-6 30d,1.77,1.59,1.42,3,0
COLORS WALA TAMIL BUDGET PLUS 30d,9.44,8.5,7.55,11,0
SPP MARATHI 30d,93.22,83.9,74.58,20,0
SVP MARATHI 30d,57.82,52.04,46.26,13,0
SVP TELUGU KANNADA 30d,46.02,41.42,36.82,12,0
SUN KANNADA PRIME 30d,53.1,47.79,42.48,9,0
SUN KANNDA BASIC 30d,35.4,31.86,28.32,6,0
SUN KERALA SUPER 30d,53.1,47.79,42.48,11,0
TURNER FAMILY PACK 30d,5.31,4.78,9.44,5,0
TVTN HINDI NEWS HD BOUQUET 30d,1.18,1.06,0.94,1,1
TVTN NEWS BOUQUET 30d,1.18,1.06,0.94,3,0
ZEE ALL-IN-ONE PACK TELUGU SD 30d,77.88,70.09,62.3,22,0
ZEE FAMILY PACK BANGLA HD 30d,82.6,74.34,66.08,13,6
ZEE FAMILY PACK HINDI HD 30d,70.8,63.72,56.64,18,5
ZEE FAMILY PACK HINDI SD 30d,46.02,41.42,36.82,23,0
ZEE FAMILY PACK ODIA SD 30d,46.02,41.42,36.82,18,0
ZEE PRIME PACK ENGLISH SD 30d,17.7,15.93,14.16,4,0
ZEE PRIME PACK TELUGU-KANNADA SD 30d,33.04,29.74,26.43,10,0
DISCOVERY BASIC INFOTAINMENT HD PACK 30d,11.8,10.62,9.44,4,4
DISCOVERY BASIC INFOTAINMENT PACK 30d,9.44,8.5,7.55,8,0
DISCOVERY INFOTAINMENT + SPORTS HD PACK 30d,10.62,9.56,8.5,2,3
DISCOVERY INFOTAINMENT + SPORTS PACK 30d,8.26,7.43,6.61,5,0
DISCOVERY INFOTAINMENT PACK 30d,8.26,7.43,6.61,6,0
DISCOVERY KIDS INFOTAINMENT PACK 30d,7.08,6.37,5.66,4,0
SONY HAPPY INDIA 31 - A 30d,35.99,32.39,29.26,8,0
SONY HAPPY INDIA 31 - MARATHI 30d,35.99,32.39,29.26,9,0
SONY HAPPY INDIA 39 - A 30d,45.43,40.89,36.82,10,0
SONY HAPPY INDIA 39 - MARATHI 30d,45.43,40.89,36.82,11,0
SONY HAPPY INDIA HD 59 30d,68.79,61.91,55.7,7,4
SONY HAPPY INDIA SPORTS + ENGLISH 47 30d,49.32,44.39,44.39,8,0
SONY HAPPY INDIA SPORTS 39 30d,42.83,38.55,36.82,5,0
SVP HD BENGALI 30d,100.3,90.27,80.24,2,8
SVP BENGALI 30d,57.82,52.04,46.26,10,0
SVP MALAYALAM 30d,46.02,41.42,36.82,9,0
TURNER KIDS PACK 30d,5.02,4.51,4.01,2,0
TVTN HINDI NEWS BOUQUET 30d,0.59,0.53,0.47,2,0
TVTN NEWS HD BOUQUET 30d,1.77,1.59,1.42,2,1
SONY HAPPY INDIA 31 - BANGLA 30d,35.99,32.39,29.26,9,0
SONY HAPPY INDIA 39 - BANGLA 30d,45.43,40.89,36.82,11,0
SONY HAPPY INDIA PLATINUM HD 90 - A 30d,97,87.3,87.3,5,11
SONY HAPPY INDIA SPORTS + ENGLISH HD 50 30d,50.39,45.35,45.35,1,7
SPP BENGALI 30d,93.22,83.9,74.58,17,0
SVP HD MARATHI 30d,100.3,90.27,80.24,5,8
ZEE ALL-IN-ONE PACK HINDI HD 30d,100.3,90.27,80.24,19,8
NEWS18 URDU 30d,0.12,0.11,0.1,1,0
PEACE OF MIND 30d,0,0,0,1,0
SHALOM 30d,0,0,0,1,0
STAR WORLD 30d,9.44,8.5,7.55,1,0
STAR WORLD HD 30d,10.62,9.56,8.5,0,1
STAR WORLD PREMIERE HD 30d,10.62,9.56,8.5,0,1
UTV HD 30d,9.44,8.5,7.55,0,1
UTV MOVIES 30d,2.36,2.12,1.89,1,0
KAIRALI PEOPLE 30d,0,0,0,1,0
MASTIII 30d,0,0,0,1,0
UTV ACTION 30d,2.36,2.12,1.89,1,0
DW TV 30d,0,0,0,1,0
BABY TV HD 30d,1.18,1.06,0.94,0,1
STAR SPORTS HD2 30d,22.42,20.18,17.94,0,1
BFLIX MOVIES 30d,0,0,0,1,0
SURYA CINEMA 30d,0,0,0,1,0
STAR SPORTS HD1 30d,22.42,20.18,19,0,1
RUSSIA TODAY 30d,0,0,0,1,0
DAYSTAR 30d,0,0,0,1,0
SHOW BOX 30d,0,0,0,1,0
ETV PLUS HD 30d,10.62,9.56,8.5,0,1
ARADANA TV 30d,0,0,0,1,0
GOLDMINES BOLLYWOOD 30d,0,0,0,1,0
